episode,return,steps,success,illegal,efficiency,illegal_ratio
0,-470.0,200,0,30,0.06,0.15
1,-587.0,200,0,43,0.06,0.215
2,-524.0,200,0,36,0.06,0.18
3,-425.0,200,0,25,0.06,0.125
4,-569.0,200,0,41,0.06,0.205
5,-551.0,200,0,39,0.06,0.195
6,-515.0,200,0,35,0.06,0.175
7,-353.0,200,0,17,0.06,0.085
8,-398.0,200,0,22,0.06,0.11
9,-407.0,200,0,23,0.06,0.115
10,-470.0,200,0,30,0.06,0.15
11,-335.0,200,0,15,0.06,0.075
12,-324.0,183,1,18,0.06557377049180328,0.09836065573770492
13,-587.0,200,0,43,0.06,0.215
14,-560.0,200,0,40,0.06,0.2
15,-486.0,192,1,35,0.0625,0.18229166666666666
16,-236.0,200,0,4,0.06,0.02
17,-245.0,200,0,5,0.06,0.025
18,-254.0,200,0,6,0.06,0.03
19,-506.0,200,0,34,0.06,0.17
20,-560.0,200,0,40,0.06,0.2
21,-290.0,200,0,10,0.06,0.05
22,-335.0,200,0,15,0.06,0.075
23,-425.0,200,0,25,0.06,0.125
24,-281.0,200,0,9,0.06,0.045
25,-254.0,200,0,6,0.06,0.03
26,-281.0,200,0,9,0.06,0.045
27,-290.0,200,0,10,0.06,0.05
28,-263.0,200,0,7,0.06,0.035
29,-263.0,200,0,7,0.06,0.035
30,-515.0,200,0,35,0.06,0.175
31,-353.0,200,0,17,0.06,0.085
32,-96.0,90,1,3,0.13333333333333333,0.03333333333333333
33,-254.0,200,0,6,0.06,0.03
34,-218.0,200,0,2,0.06,0.01
35,-407.0,200,0,23,0.06,0.115
36,-542.0,200,0,38,0.06,0.19
37,-317.0,200,0,13,0.06,0.065
38,-290.0,200,0,10,0.06,0.05
39,-578.0,200,0,42,0.06,0.21
40,-227.0,200,0,3,0.06,0.015
41,-389.0,200,0,21,0.06,0.105
42,-245.0,200,0,5,0.06,0.025
43,-10.0,31,1,0,0.3870967741935484,0.0
44,-344.0,200,0,16,0.06,0.08
45,-93.0,96,1,2,0.125,0.020833333333333332
46,-141.0,108,1,6,0.1111111111111111,0.05555555555555555
47,-353.0,200,0,17,0.06,0.085
48,-308.0,200,0,12,0.06,0.06
49,-317.0,200,0,13,0.06,0.065
50,-298.0,121,1,22,0.09917355371900827,0.18181818181818182
51,-254.0,200,0,6,0.06,0.03
52,-290.0,200,0,10,0.06,0.05
53,-302.0,188,1,15,0.06382978723404255,0.0797872340425532
54,-335.0,200,0,15,0.06,0.075
55,-254.0,200,0,6,0.06,0.03
56,-263.0,200,0,7,0.06,0.035
57,-317.0,200,0,13,0.06,0.065
58,-82.0,94,1,1,0.1276595744680851,0.010638297872340425
59,-299.0,200,0,11,0.06,0.055
60,-344.0,200,0,16,0.06,0.08
61,-272.0,200,0,8,0.06,0.04
62,-236.0,200,0,4,0.06,0.02
63,-263.0,200,0,7,0.06,0.035
64,-272.0,200,0,8,0.06,0.04
65,-236.0,200,0,4,0.06,0.02
66,-254.0,200,0,6,0.06,0.03
67,-231.0,162,1,10,0.07407407407407407,0.06172839506172839
68,-313.0,172,1,18,0.06976744186046512,0.10465116279069768
69,-263.0,200,0,7,0.06,0.035
70,-227.0,200,0,3,0.06,0.015
71,-236.0,200,0,4,0.06,0.02
72,-245.0,200,0,5,0.06,0.025
73,-308.0,200,0,12,0.06,0.06
74,-398.0,200,0,22,0.06,0.11
75,-187.0,109,1,11,0.11009174311926606,0.10091743119266056
76,-326.0,200,0,14,0.06,0.07
77,-102.0,87,1,4,0.13793103448275862,0.04597701149425287
78,-179.0,191,1,1,0.06282722513089005,0.005235602094240838
79,-263.0,200,0,7,0.06,0.035
80,-389.0,200,0,21,0.06,0.105
81,-272.0,200,0,8,0.06,0.04
82,-194.0,143,1,8,0.08391608391608392,0.055944055944055944
83,-254.0,200,0,6,0.06,0.03
84,15.0,6,1,0,1.0,0.0
85,-63.0,57,1,3,0.21052631578947367,0.05263157894736842
86,-400.0,187,1,26,0.06417112299465241,0.13903743315508021
87,-272.0,200,0,8,0.06,0.04
88,-218.0,149,1,10,0.08053691275167785,0.06711409395973154
89,-117.0,93,1,5,0.12903225806451613,0.053763440860215055
90,-290.0,200,0,10,0.06,0.05
91,-281.0,200,0,9,0.06,0.045
92,-254.0,200,0,6,0.06,0.03
93,-254.0,200,0,6,0.06,0.03
94,-407.0,200,0,23,0.06,0.115
95,-344.0,200,0,16,0.06,0.08
96,-190.0,166,1,5,0.07228915662650602,0.030120481927710843
97,-254.0,200,0,6,0.06,0.03
98,-443.0,200,0,27,0.06,0.135
99,-96.0,90,1,3,0.13333333333333333,0.03333333333333333
100,-104.0,89,1,4,0.1348314606741573,0.0449438202247191
101,-308.0,200,0,12,0.06,0.06
102,-154.0,103,1,8,0.11650485436893204,0.07766990291262135
103,-245.0,200,0,5,0.06,0.025
104,-434.0,200,0,26,0.06,0.13
105,-299.0,200,0,11,0.06,0.055
106,-371.0,200,0,19,0.06,0.095
107,-286.0,172,1,15,0.06976744186046512,0.0872093023255814
108,-239.0,170,1,10,0.07058823529411765,0.058823529411764705
109,-299.0,200,0,11,0.06,0.055
110,-281.0,200,0,9,0.06,0.045
111,-254.0,200,0,6,0.06,0.03
112,-299.0,200,0,11,0.06,0.055
113,-326.0,200,0,14,0.06,0.07
114,-227.0,200,0,3,0.06,0.015
115,-212.0,170,1,7,0.07058823529411765,0.041176470588235294
116,-207.0,147,1,9,0.08163265306122448,0.061224489795918366
117,-326.0,200,0,14,0.06,0.07
118,-289.0,166,1,16,0.07228915662650602,0.0963855421686747
119,-335.0,200,0,15,0.06,0.075
120,-362.0,200,0,18,0.06,0.09
121,-317.0,200,0,13,0.06,0.065
122,-299.0,200,0,11,0.06,0.055
123,-125.0,119,1,3,0.10084033613445378,0.025210084033613446
124,-272.0,200,0,8,0.06,0.04
125,-151.0,118,1,6,0.1016949152542373,0.05084745762711865
126,-308.0,200,0,12,0.06,0.06
127,-236.0,200,0,4,0.06,0.02
128,-290.0,200,0,10,0.06,0.05
129,-344.0,200,0,16,0.06,0.08
130,-243.0,192,1,8,0.0625,0.041666666666666664
131,-272.0,200,0,8,0.06,0.04
132,-281.0,200,0,9,0.06,0.045
133,-200.0,167,1,6,0.0718562874251497,0.03592814371257485
134,-299.0,200,0,11,0.06,0.055
135,-254.0,200,0,6,0.06,0.03
136,-245.0,200,0,5,0.06,0.025
137,-163.0,85,1,11,0.1411764705882353,0.12941176470588237
138,-281.0,200,0,9,0.06,0.045
139,-132.0,126,1,3,0.09523809523809523,0.023809523809523808
140,-68.0,71,1,2,0.16901408450704225,0.028169014084507043
141,-88.0,73,1,4,0.1643835616438356,0.0547945205479452
142,-133.0,64,1,10,0.1875,0.15625
143,-281.0,200,0,9,0.06,0.045
144,-344.0,200,0,16,0.06,0.08
145,-353.0,200,0,17,0.06,0.085
146,-315.0,174,1,18,0.06896551724137931,0.10344827586206896
147,-205.0,172,1,6,0.06976744186046512,0.03488372093023256
148,-290.0,200,0,10,0.06,0.05
149,-299.0,200,0,11,0.06,0.055
150,-335.0,200,0,15,0.06,0.075
151,-299.0,200,0,11,0.06,0.055
152,-213.0,144,1,10,0.08333333333333333,0.06944444444444445
153,-139.0,106,1,6,0.11320754716981132,0.05660377358490566
154,-290.0,200,0,10,0.06,0.05
155,-254.0,200,0,6,0.06,0.03
156,-163.0,139,1,5,0.08633093525179857,0.03597122302158273
157,-193.0,169,1,5,0.07100591715976332,0.029585798816568046
158,-308.0,200,0,12,0.06,0.06
159,-90.0,93,1,2,0.12903225806451613,0.021505376344086023
160,-290.0,200,0,10,0.06,0.05
161,-254.0,200,0,6,0.06,0.03
162,-299.0,200,0,11,0.06,0.055
163,-261.0,183,1,11,0.06557377049180328,0.060109289617486336
164,-163.0,139,1,5,0.08633093525179857,0.03597122302158273
165,-362.0,200,0,18,0.06,0.09
166,12.0,9,1,0,1.0,0.0
167,-254.0,200,0,6,0.06,0.03
168,-220.0,142,1,11,0.08450704225352113,0.07746478873239436
169,-254.0,200,0,6,0.06,0.03
170,-204.0,171,1,6,0.07017543859649122,0.03508771929824561
171,-236.0,200,0,4,0.06,0.02
172,-85.0,88,1,2,0.13636363636363635,0.022727272727272728
173,-290.0,200,0,10,0.06,0.05
174,-272.0,200,0,8,0.06,0.04
175,-7.0,19,1,1,0.631578947368421,0.05263157894736842
176,-272.0,200,0,8,0.06,0.04
177,-155.0,86,1,10,0.13953488372093023,0.11627906976744186
178,-33.0,45,1,1,0.26666666666666666,0.022222222222222223
179,-254.0,200,0,6,0.06,0.03
180,-221.0,161,1,9,0.07453416149068323,0.055900621118012424
181,-281.0,200,0,9,0.06,0.045
182,-29.0,50,1,0,0.24,0.0
183,-308.0,200,0,12,0.06,0.06
184,-335.0,200,0,15,0.06,0.075
185,-239.0,188,1,8,0.06382978723404255,0.0425531914893617
186,-65.0,68,1,2,0.17647058823529413,0.029411764705882353
187,-326.0,200,0,14,0.06,0.07
188,-193.0,124,1,10,0.0967741935483871,0.08064516129032258
189,-308.0,200,0,12,0.06,0.06
190,-103.0,88,1,4,0.13636363636363635,0.045454545454545456
191,-41.0,35,1,3,0.34285714285714286,0.08571428571428572
192,-153.0,120,1,6,0.1,0.05
193,-245.0,200,0,5,0.06,0.025
194,-26.0,38,1,1,0.3157894736842105,0.02631578947368421
195,-326.0,200,0,14,0.06,0.07
196,-178.0,163,1,4,0.0736196319018405,0.024539877300613498
197,-137.0,104,1,6,0.11538461538461539,0.057692307692307696
198,-41.0,44,1,2,0.2727272727272727,0.045454545454545456
199,-60.0,72,1,1,0.16666666666666666,0.013888888888888888
200,-111.0,78,1,6,0.15384615384615385,0.07692307692307693
201,-176.0,170,1,3,0.07058823529411765,0.01764705882352941
202,-244.0,148,1,13,0.08108108108108109,0.08783783783783784
203,-335.0,200,0,15,0.06,0.075
204,-174.0,114,1,9,0.10526315789473684,0.07894736842105263
205,-245.0,200,0,5,0.06,0.025
206,-254.0,200,0,6,0.06,0.03
207,-174.0,177,1,2,0.06779661016949153,0.011299435028248588
208,-164.0,104,1,9,0.11538461538461539,0.08653846153846154
209,-308.0,200,0,12,0.06,0.06
210,-255.0,168,1,12,0.07142857142857142,0.07142857142857142
211,-233.0,137,1,13,0.08759124087591241,0.0948905109489051
212,-287.0,155,1,17,0.07741935483870968,0.10967741935483871
213,-299.0,200,0,11,0.06,0.055
214,-53.0,47,1,3,0.2553191489361702,0.06382978723404255
215,-272.0,200,0,8,0.06,0.04
216,-130.0,106,1,5,0.11320754716981132,0.04716981132075472
217,-279.0,183,1,13,0.06557377049180328,0.07103825136612021
218,-271.0,193,1,11,0.06217616580310881,0.05699481865284974
219,-254.0,200,0,6,0.06,0.03
220,-236.0,200,0,4,0.06,0.02
221,-39.0,51,1,1,0.23529411764705882,0.0196078431372549
222,-59.0,71,1,1,0.16901408450704225,0.014084507042253521
223,-155.0,104,1,8,0.11538461538461539,0.07692307692307693
224,-29.0,32,1,2,0.375,0.0625
225,-313.0,181,1,17,0.06629834254143646,0.09392265193370165
226,-84.0,69,1,4,0.17391304347826086,0.057971014492753624
227,-240.0,180,1,9,0.06666666666666667,0.05
228,-173.0,131,1,7,0.0916030534351145,0.05343511450381679
229,-263.0,200,0,7,0.06,0.035
230,-326.0,200,0,14,0.06,0.07
231,-290.0,200,0,10,0.06,0.05
232,-172.0,94,1,11,0.1276595744680851,0.11702127659574468
233,-168.0,162,1,3,0.07407407407407407,0.018518518518518517
234,13.0,8,1,0,1.0,0.0
235,-20.0,32,1,1,0.375,0.03125
236,-113.0,89,1,5,0.1348314606741573,0.056179775280898875
237,-211.0,160,1,8,0.075,0.05
238,-371.0,200,0,19,0.06,0.095
239,-200.0,176,1,5,0.06818181818181818,0.028409090909090908
240,-113.0,98,1,4,0.12244897959183673,0.04081632653061224
241,-272.0,200,0,8,0.06,0.04
242,-190.0,139,1,8,0.08633093525179857,0.05755395683453238
243,-52.0,55,1,2,0.21818181818181817,0.03636363636363636
244,-244.0,184,1,9,0.06521739130434782,0.04891304347826087
245,-239.0,170,1,10,0.07058823529411765,0.058823529411764705
246,-274.0,178,1,13,0.06741573033707865,0.07303370786516854
247,-344.0,200,0,16,0.06,0.08
248,-232.0,172,1,9,0.06976744186046512,0.05232558139534884
249,-234.0,138,1,13,0.08695652173913043,0.09420289855072464
250,-134.0,110,1,5,0.10909090909090909,0.045454545454545456
251,-34.0,46,1,1,0.2608695652173913,0.021739130434782608
252,-152.0,119,1,6,0.10084033613445378,0.05042016806722689
253,-52.0,37,1,4,0.32432432432432434,0.10810810810810811
254,-142.0,136,1,3,0.08823529411764706,0.022058823529411766
255,-143.0,137,1,3,0.08759124087591241,0.021897810218978103
256,-171.0,147,1,5,0.08163265306122448,0.034013605442176874
257,-258.0,198,1,9,0.06060606060606061,0.045454545454545456
258,-161.0,137,1,5,0.08759124087591241,0.0364963503649635
259,-16.0,37,1,0,0.32432432432432434,0.0
260,-136.0,121,1,4,0.09917355371900827,0.03305785123966942
261,-254.0,200,0,6,0.06,0.03
262,-123.0,99,1,5,0.12121212121212122,0.050505050505050504
263,-218.0,176,1,7,0.06818181818181818,0.03977272727272727
264,-270.0,192,1,11,0.0625,0.057291666666666664
265,-200.0,176,1,5,0.06818181818181818,0.028409090909090908
266,-109.0,103,1,3,0.11650485436893204,0.02912621359223301
267,-106.0,91,1,4,0.13186813186813187,0.04395604395604396
268,-254.0,200,0,6,0.06,0.03
269,-92.0,95,1,2,0.12631578947368421,0.021052631578947368
270,-317.0,200,0,13,0.06,0.065
271,-196.0,154,1,7,0.07792207792207792,0.045454545454545456
272,-308.0,200,0,12,0.06,0.06
273,-317.0,200,0,13,0.06,0.065
274,-17.0,20,1,2,0.6,0.1
275,-20.0,23,1,2,0.5217391304347826,0.08695652173913043
276,-30.0,33,1,2,0.36363636363636365,0.06060606060606061
277,-299.0,200,0,11,0.06,0.055
278,-53.0,65,1,1,0.18461538461538463,0.015384615384615385
279,-21.0,33,1,1,0.36363636363636365,0.030303030303030304
280,-98.0,74,1,5,0.16216216216216217,0.06756756756756757
281,-254.0,200,0,6,0.06,0.03
282,12.0,9,1,0,1.0,0.0
283,-209.0,194,1,4,0.061855670103092786,0.020618556701030927
284,-34.0,46,1,1,0.2608695652173913,0.021739130434782608
285,-291.0,177,1,15,0.06779661016949153,0.0847457627118644
286,-263.0,200,0,7,0.06,0.035
287,-272.0,200,0,8,0.06,0.04
288,-344.0,200,0,16,0.06,0.08
289,-110.0,86,1,5,0.13953488372093023,0.05813953488372093
290,-39.0,51,1,1,0.23529411764705882,0.0196078431372549
291,-243.0,183,1,9,0.06557377049180328,0.04918032786885246
292,-55.0,67,1,1,0.1791044776119403,0.014925373134328358
293,-74.0,77,1,2,0.15584415584415584,0.025974025974025976
294,-166.0,133,1,6,0.09022556390977443,0.045112781954887216
295,-205.0,145,1,9,0.08275862068965517,0.06206896551724138
296,-18.0,30,1,1,0.4,0.03333333333333333
297,-42.0,36,1,3,0.3333333333333333,0.08333333333333333
298,-27.0,39,1,1,0.3076923076923077,0.02564102564102564
299,-151.0,136,1,4,0.08823529411764706,0.029411764705882353
300,-110.0,95,1,4,0.12631578947368421,0.042105263157894736
301,-245.0,200,0,5,0.06,0.025
302,-136.0,121,1,4,0.09917355371900827,0.03305785123966942
303,-176.0,170,1,3,0.07058823529411765,0.01764705882352941
304,-227.0,200,0,3,0.06,0.015
305,-98.0,110,1,1,0.10909090909090909,0.00909090909090909
306,-184.0,133,1,8,0.09022556390977443,0.06015037593984962
307,-7.0,28,1,0,0.42857142857142855,0.0
308,-137.0,113,1,5,0.10619469026548672,0.04424778761061947
309,-59.0,62,1,2,0.1935483870967742,0.03225806451612903
310,-272.0,200,0,8,0.06,0.04
311,-203.0,161,1,7,0.07453416149068323,0.043478260869565216
312,-236.0,194,1,7,0.061855670103092786,0.03608247422680412
313,-167.0,125,1,7,0.096,0.056
314,-106.0,82,1,5,0.14634146341463414,0.06097560975609756
315,-173.0,140,1,6,0.08571428571428572,0.04285714285714286
316,-218.0,131,1,12,0.0916030534351145,0.0916030534351145
317,-278.0,200,1,11,0.06,0.055
318,-220.0,124,1,13,0.0967741935483871,0.10483870967741936
319,-231.0,144,1,12,0.08333333333333333,0.08333333333333333
320,-238.0,160,1,11,0.075,0.06875
321,-50.0,53,1,2,0.22641509433962265,0.03773584905660377
322,-147.0,132,1,4,0.09090909090909091,0.030303030303030304
323,-112.0,88,1,5,0.13636363636363635,0.056818181818181816
324,-221.0,161,1,9,0.07453416149068323,0.055900621118012424
325,-60.0,63,1,2,0.19047619047619047,0.031746031746031744
326,-27.0,39,1,1,0.3076923076923077,0.02564102564102564
327,-6.0,18,1,1,0.6666666666666666,0.05555555555555555
328,-271.0,193,1,11,0.06217616580310881,0.05699481865284974
329,-174.0,141,1,6,0.0851063829787234,0.0425531914893617
330,-74.0,59,1,4,0.2033898305084746,0.06779661016949153
331,-230.0,161,1,10,0.07453416149068323,0.062111801242236024
332,-180.0,138,1,7,0.08695652173913043,0.050724637681159424
333,-50.0,62,1,1,0.1935483870967742,0.016129032258064516
334,-127.0,94,1,6,0.1276595744680851,0.06382978723404255
335,-161.0,128,1,6,0.09375,0.046875
336,-108.0,102,1,3,0.11764705882352941,0.029411764705882353
337,-164.0,113,1,8,0.10619469026548672,0.07079646017699115
338,-101.0,95,1,3,0.12631578947368421,0.031578947368421054
339,-71.0,47,1,5,0.2553191489361702,0.10638297872340426
340,-183.0,114,1,10,0.10526315789473684,0.08771929824561403
341,-246.0,159,1,12,0.07547169811320754,0.07547169811320754
342,-178.0,154,1,5,0.07792207792207792,0.032467532467532464
343,-254.0,200,0,6,0.06,0.03
344,-161.0,128,1,6,0.09375,0.046875
345,-21.0,33,1,1,0.36363636363636365,0.030303030303030304
346,-44.0,56,1,1,0.21428571428571427,0.017857142857142856
347,-151.0,118,1,6,0.1016949152542373,0.05084745762711865
348,-281.0,176,1,14,0.06818181818181818,0.07954545454545454
349,15.0,6,1,0,1.0,0.0
350,-152.0,101,1,8,0.1188118811881188,0.07920792079207921
351,-161.0,128,1,6,0.09375,0.046875
352,-93.0,60,1,6,0.2,0.1
353,-218.0,158,1,9,0.0759493670886076,0.056962025316455694
354,-12.0,33,1,0,0.36363636363636365,0.0
355,-272.0,200,0,8,0.06,0.04
