episode,return,steps,success,illegal,efficiency,illegal_ratio
0,-488.0,200,0,32,0.06,0.16
1,-578.0,200,0,42,0.06,0.21
2,-578.0,200,0,42,0.06,0.21
3,-659.0,200,0,51,0.06,0.255
4,-560.0,200,0,40,0.06,0.2
5,-560.0,200,0,40,0.06,0.2
6,-578.0,200,0,42,0.06,0.21
7,-578.0,200,0,42,0.06,0.21
8,-560.0,200,0,40,0.06,0.2
9,-578.0,200,0,42,0.06,0.21
10,-596.0,200,0,44,0.06,0.22
11,-533.0,200,0,37,0.06,0.185
12,-623.0,200,0,47,0.06,0.235
13,-506.0,200,0,34,0.06,0.17
14,-533.0,200,0,37,0.06,0.185
15,-596.0,200,0,44,0.06,0.22
16,-686.0,200,0,54,0.06,0.27
17,-515.0,200,0,35,0.06,0.175
18,-650.0,200,0,50,0.06,0.25
19,-560.0,200,0,40,0.06,0.2
20,-452.0,200,0,28,0.06,0.14
21,-641.0,200,0,49,0.06,0.245
22,-542.0,200,0,38,0.06,0.19
23,-569.0,200,0,41,0.06,0.205
24,-533.0,200,0,37,0.06,0.185
25,-560.0,200,0,40,0.06,0.2
26,-434.0,200,0,26,0.06,0.13
27,-524.0,200,0,36,0.06,0.18
28,-452.0,200,0,28,0.06,0.14
29,-524.0,200,0,36,0.06,0.18
30,-542.0,200,0,38,0.06,0.19
31,-611.0,200,1,48,0.06,0.24
32,-416.0,200,0,24,0.06,0.12
33,-596.0,200,0,44,0.06,0.22
34,-144.0,75,1,10,0.16,0.13333333333333333
35,-623.0,200,0,47,0.06,0.235
36,-533.0,200,0,37,0.06,0.185
37,-614.0,200,0,46,0.06,0.23
38,-587.0,200,0,43,0.06,0.215
39,-587.0,200,0,43,0.06,0.215
40,-587.0,200,0,43,0.06,0.215
41,-515.0,200,0,35,0.06,0.175
42,-686.0,200,0,54,0.06,0.27
43,-560.0,200,0,40,0.06,0.2
44,-335.0,200,0,15,0.06,0.075
45,-434.0,200,0,26,0.06,0.13
46,-325.0,121,1,25,0.09917355371900827,0.2066115702479339
47,-488.0,200,0,32,0.06,0.16
48,-299.0,200,0,11,0.06,0.055
49,-497.0,200,0,33,0.06,0.165
50,-488.0,200,0,32,0.06,0.16
51,-587.0,200,0,43,0.06,0.215
52,-578.0,200,0,42,0.06,0.21
53,-524.0,200,0,36,0.06,0.18
54,-426.0,150,1,33,0.08,0.22
55,-596.0,200,0,44,0.06,0.22
56,-416.0,200,0,24,0.06,0.12
57,-497.0,200,0,33,0.06,0.165
58,-494.0,173,1,38,0.06936416184971098,0.21965317919075145
59,-389.0,200,0,21,0.06,0.105
60,-623.0,200,0,47,0.06,0.235
61,-614.0,200,0,46,0.06,0.23
62,-236.0,200,0,4,0.06,0.02
63,-272.0,200,0,8,0.06,0.04
64,-299.0,200,0,11,0.06,0.055
65,-650.0,200,0,50,0.06,0.25
66,-263.0,200,0,7,0.06,0.035
67,-299.0,200,0,11,0.06,0.055
68,-227.0,200,0,3,0.06,0.015
69,-614.0,200,0,46,0.06,0.23
70,-488.0,200,0,32,0.06,0.16
71,-659.0,200,0,51,0.06,0.255
72,-587.0,200,0,43,0.06,0.215
73,-317.0,200,0,13,0.06,0.065
74,-290.0,200,0,10,0.06,0.05
75,-398.0,200,0,22,0.06,0.11
76,-506.0,200,0,34,0.06,0.17
77,-123.0,63,1,9,0.19047619047619047,0.14285714285714285
78,-254.0,200,0,6,0.06,0.03
79,-605.0,200,0,45,0.06,0.225
80,-217.0,85,1,17,0.1411764705882353,0.2
81,-452.0,200,0,28,0.06,0.14
82,-263.0,200,0,7,0.06,0.035
83,-407.0,200,0,23,0.06,0.115
84,-434.0,200,0,26,0.06,0.13
85,-218.0,200,0,2,0.06,0.01
86,-569.0,200,0,41,0.06,0.205
87,-281.0,200,0,9,0.06,0.045
88,-281.0,200,0,9,0.06,0.045
89,-317.0,200,0,13,0.06,0.065
90,-221.0,107,1,15,0.11214953271028037,0.14018691588785046
91,-371.0,200,0,19,0.06,0.095
92,-470.0,200,0,30,0.06,0.15
93,-524.0,200,0,36,0.06,0.18
94,-317.0,200,0,13,0.06,0.065
95,-677.0,200,0,53,0.06,0.265
96,-407.0,200,0,23,0.06,0.115
97,-419.0,161,1,31,0.07453416149068323,0.19254658385093168
98,-380.0,200,0,20,0.06,0.1
99,-281.0,200,0,9,0.06,0.045
100,-245.0,200,0,5,0.06,0.025
101,-245.0,200,0,5,0.06,0.025
102,-277.0,172,1,14,0.06976744186046512,0.08139534883720931
