agent,episode_budget,avg_return,avg_steps,success_rate,avg_illegal,avg_efficiency,avg_illegal_ratio
flat,1,-218.0,200.0,0.0,2.0,0.05999999865889549,0.009999999776482582
options,1,-200.0,200.0,0.0,0.0,0.05999999865889549,0.0
flat,10,-235.9550018310547,200.0,0.0,3.994999885559082,0.05999999865889549,0.019974999129772186
options,10,-380.0,200.0,0.0,20.0,0.05999999865889549,0.10000000149011612
flat,100,-235.91000366210938,200.0,0.0,3.990000009536743,0.05999999865889549,0.019950000569224358
options,100,-326.0,200.0,0.0,14.0,0.05999999865889549,0.07000000029802322
flat,1000,-132.43499755859375,114.93000030517578,0.44999998807907104,2.994999885559082,0.47224175930023193,0.014974999241530895
options,1000,-259.6549987792969,197.10499572753906,0.014999999664723873,6.985000133514404,0.07409999519586563,0.03492499887943268
flat,3000,7.034999847412109,13.859999656677246,0.9950000047683716,0.0,0.8924558162689209,0.0
options,3000,-126.55500030517578,93.46499633789062,0.5649999976158142,4.994999885559082,0.5686604380607605,0.024974999949336052
